Campaign,Link text,Final URL,Description line 1,Description line 2
Search - AU - Fractional CTO,Pricing,https://thefractionalcto.au/#pricing,One flat monthly fee,Pause or cancel anytime
Search - AU - Fractional CTO,How it works,https://thefractionalcto.au/#how-it-works,"Subscribe, ask, done",Start within a week
Search - AU - Fractional CTO,Technical audit,https://thefractionalcto.au/#services,"Fixed price, plain English",Built for raises and sales
Search - AU - Fractional CTO,Book a call,https://thefractionalcto.au/#booking,"Fifteen minutes, no pitch",Pick a time that suits
Search - AU - Fractional CTO,Free CTO checklist,https://thefractionalcto.au/#checklist,Twenty questions to answer,About your technology
Search - AU - Fractional CTO,Meet your CTO,https://thefractionalcto.au/#about,Has sat in the CTO chair,Not just advised it
Search - AU - Research intent,Pricing,https://thefractionalcto.au/#pricing,One flat monthly fee,Pause or cancel anytime
Search - AU - Research intent,How it works,https://thefractionalcto.au/#how-it-works,"Subscribe, ask, done",Start within a week
Search - AU - Research intent,Technical audit,https://thefractionalcto.au/#services,"Fixed price, plain English",Built for raises and sales
Search - AU - Research intent,Book a call,https://thefractionalcto.au/#booking,"Fifteen minutes, no pitch",Pick a time that suits
Search - AU - Research intent,Free CTO checklist,https://thefractionalcto.au/#checklist,Twenty questions to answer,About your technology
Search - AU - Research intent,Meet your CTO,https://thefractionalcto.au/#about,Has sat in the CTO chair,Not just advised it
