Campaign,Ad Group,Keyword,Criterion Type,Status
Search - AU - Fractional CTO,Fractional CTO,fractional cto,Exact,Enabled
Search - AU - Fractional CTO,Fractional CTO,fractional cto,Phrase,Enabled
Search - AU - Fractional CTO,Fractional CTO,fractional cto services,Exact,Enabled
Search - AU - Fractional CTO,Fractional CTO,fractional cto services,Phrase,Enabled
Search - AU - Fractional CTO,Fractional CTO,fractional cto for startups,Exact,Enabled
Search - AU - Fractional CTO,Fractional CTO,fractional cto for startups,Phrase,Enabled
Search - AU - Fractional CTO,Fractional CTO,fractional cto australia,Exact,Enabled
Search - AU - Fractional CTO,Fractional CTO,fractional cto australia,Phrase,Enabled
Search - AU - Fractional CTO,Fractional CTO,fractional cto melbourne,Exact,Enabled
Search - AU - Fractional CTO,Fractional CTO,fractional cto melbourne,Phrase,Enabled
Search - AU - Fractional CTO,Fractional CTO,fractional cto sydney,Exact,Enabled
Search - AU - Fractional CTO,Fractional CTO,fractional cto sydney,Phrase,Enabled
Search - AU - Fractional CTO,Fractional CTO,fractional cto brisbane,Exact,Enabled
Search - AU - Fractional CTO,Fractional CTO,fractional cto brisbane,Phrase,Enabled
Search - AU - Fractional CTO,Fractional CTO,fractional cto perth,Exact,Enabled
Search - AU - Fractional CTO,Fractional CTO,fractional cto perth,Phrase,Enabled
Search - AU - Fractional CTO,Fractional CTO,fractional cto cost,Exact,Enabled
Search - AU - Fractional CTO,Fractional CTO,fractional cto cost,Phrase,Enabled
Search - AU - Fractional CTO,Fractional CTO,fractional cto rates,Exact,Enabled
Search - AU - Fractional CTO,Fractional CTO,fractional cto rates,Phrase,Enabled
Search - AU - Fractional CTO,Fractional CTO,fractional cto pricing,Exact,Enabled
Search - AU - Fractional CTO,Fractional CTO,fractional cto pricing,Phrase,Enabled
Search - AU - Fractional CTO,Fractional CTO,hire a fractional cto,Exact,Enabled
Search - AU - Fractional CTO,Fractional CTO,hire a fractional cto,Phrase,Enabled
Search - AU - Fractional CTO,Fractional CTO,find a fractional cto,Exact,Enabled
Search - AU - Fractional CTO,Fractional CTO,find a fractional cto,Phrase,Enabled
Search - AU - Fractional CTO,Fractional CTO,part time cto,Exact,Enabled
Search - AU - Fractional CTO,Fractional CTO,part time cto,Phrase,Enabled
Search - AU - Fractional CTO,Fractional CTO,cto as a service,Exact,Enabled
Search - AU - Fractional CTO,Fractional CTO,cto as a service,Phrase,Enabled
Search - AU - Fractional CTO,Fractional CTO,outsourced cto,Exact,Enabled
Search - AU - Fractional CTO,Fractional CTO,outsourced cto,Phrase,Enabled
Search - AU - Fractional CTO,Fractional CTO,outsourced cto services,Exact,Enabled
Search - AU - Fractional CTO,Fractional CTO,outsourced cto services,Phrase,Enabled
Search - AU - Fractional CTO,Fractional CTO,virtual cto,Exact,Enabled
Search - AU - Fractional CTO,Fractional CTO,virtual cto,Phrase,Enabled
Search - AU - Fractional CTO,Fractional CTO,virtual cto services,Exact,Enabled
Search - AU - Fractional CTO,Fractional CTO,virtual cto services,Phrase,Enabled
Search - AU - Fractional CTO,Fractional CTO,interim cto,Exact,Enabled
Search - AU - Fractional CTO,Fractional CTO,interim cto,Phrase,Enabled
Search - AU - Fractional CTO,Fractional CTO,cto for hire,Exact,Enabled
Search - AU - Fractional CTO,Fractional CTO,cto for hire,Phrase,Enabled
Search - AU - Fractional CTO,Fractional CTO,hire a cto,Exact,Enabled
Search - AU - Fractional CTO,Fractional CTO,hire a cto,Phrase,Enabled
Search - AU - Fractional CTO,CTO advisory,cto consultant,Exact,Enabled
Search - AU - Fractional CTO,CTO advisory,cto consultant,Phrase,Enabled
Search - AU - Fractional CTO,CTO advisory,cto consulting,Exact,Enabled
Search - AU - Fractional CTO,CTO advisory,cto consulting,Phrase,Enabled
Search - AU - Fractional CTO,CTO advisory,cto consulting services,Exact,Enabled
Search - AU - Fractional CTO,CTO advisory,cto consulting services,Phrase,Enabled
Search - AU - Fractional CTO,CTO advisory,cto advisory,Exact,Enabled
Search - AU - Fractional CTO,CTO advisory,cto advisory,Phrase,Enabled
Search - AU - Fractional CTO,CTO advisory,startup cto,Exact,Enabled
Search - AU - Fractional CTO,CTO advisory,startup cto,Phrase,Enabled
Search - AU - Fractional CTO,CTO advisory,technology strategy consulting,Exact,Enabled
Search - AU - Fractional CTO,CTO advisory,technology strategy consulting,Phrase,Enabled
Search - AU - Fractional CTO,CTO advisory,it strategy consultant,Exact,Enabled
Search - AU - Fractional CTO,CTO advisory,it strategy consultant,Phrase,Enabled
Search - AU - Fractional CTO,CTO advisory,technical advisor for startups,Exact,Enabled
Search - AU - Fractional CTO,CTO advisory,technical advisor for startups,Phrase,Enabled
Search - AU - Fractional CTO,CTO advisory,startup technical advisor,Exact,Enabled
Search - AU - Fractional CTO,CTO advisory,startup technical advisor,Phrase,Enabled
Search - AU - Fractional CTO,CTO advisory,technology advisor small business,Exact,Enabled
Search - AU - Fractional CTO,CTO advisory,technology advisor small business,Phrase,Enabled
