Campaign,Ad Group,Ad Group Type,Max CPC,Ad Group Status
Search - AU - Fractional CTO,Fractional CTO,Standard,8.00,Enabled
Search - AU - Fractional CTO,CTO advisory,Standard,8.00,Enabled
Search - AU - Fractional CTO,Technical due diligence and audit,Standard,12.00,Enabled
Search - AU - Fractional CTO,MVP build,Standard,12.00,Enabled
Search - AU - Fractional CTO,AI and automation,Standard,12.00,Enabled
Search - AU - Fractional CTO,Cloud cost,Standard,10.00,Enabled
Search - AU - Research intent,What a fractional CTO does,Standard,5.00,Enabled
Search - AU - Research intent,Fractional vs full-time CTO,Standard,5.00,Enabled
Search - AU - Research intent,When to hire a CTO,Standard,5.00,Enabled
Search - AU - Research intent,Due diligence checklist,Standard,5.00,Enabled
Search - AU - Research intent,Choosing an agency,Standard,5.00,Enabled
